trial,type,wf,response,RT,correct,subj,length,delay,block
11,lure,HF,0,0.861000001,1,1,Short,Delay,b0
12,lure,LF,0,0.700999975,1,1,Short,Delay,b0
13,lure,LF,0,0.635999978,1,1,Short,Delay,b0
14,lure,LF,0,0.643999994,1,1,Short,Delay,b0
15,target,LF,1,0.787999988,1,1,Short,Delay,b0
16,target,LF,1,0.716000021,1,1,Short,Delay,b0
17,lure,LF,0,0.836000025,1,1,Short,Delay,b0
18,target,LF,1,0.620000005,1,1,Short,Delay,b0
19,lure,HF,0,0.731000006,1,1,Short,Delay,b0
20,lure,LF,0,0.611000001,1,1,Short,Delay,b0
21,lure,HF,0,0.699000001,1,1,Short,Delay,b0
22,target,LF,1,0.74000001,1,1,Short,Delay,b0
23,target,LF,1,0.699000001,1,1,Short,Delay,b0
0,target,HF,0,2.065000057,0,1,Long,Delay,b0
1,target,LF,1,0.802999973,1,1,Long,Delay,b0
2,lure,LF,0,0.771000028,1,1,Long,Delay,b0
3,target,HF,1,0.626999974,1,1,Long,Delay,b0
4,lure,HF,0,0.898999989,1,1,Long,Delay,b0
5,lure,HF,0,0.699999988,1,1,Long,Delay,b0
6,target,HF,1,0.66900003,1,1,Long,Delay,b0
7,lure,HF,0,0.685000002,1,1,Long,Delay,b0
8,target,HF,1,0.829999983,1,1,Long,Delay,b0
9,target,LF,1,0.709999979,1,1,Long,Delay,b0
10,lure,LF,0,0.677999973,1,1,Long,Delay,b0
11,lure,LF,0,0.819999993,1,1,Long,Delay,b0
12,target,LF,1,0.772000015,1,1,Long,Delay,b0
13,target,LF,1,0.667999983,1,1,Long,Delay,b0
14,lure,HF,0,0.723999977,1,1,Long,Delay,b0
15,lure,HF,0,0.707000017,1,1,Long,Delay,b0
16,lure,HF,0,0.795000017,1,1,Long,Delay,b0
17,lure,LF,0,0.699000001,1,1,Long,Delay,b0
18,lure,LF,0,0.683000028,1,1,Long,Delay,b0
19,lure,LF,0,0.731000006,1,1,Long,Delay,b0
20,lure,LF,0,0.666999996,1,1,Long,Delay,b0
21,lure,LF,0,1.195000052,1,1,Long,Delay,b0
22,lure,LF,0,0.95599997,1,1,Long,Delay,b0
23,target,HF,1,0.731000006,1,1,Long,Delay,b0
24,lure,HF,0,0.787,1,1,Long,Delay,b1
25,target,LF,1,0.63499999,1,1,Long,Delay,b1
26,target,LF,1,0.596000016,1,1,Long,Delay,b1
27,lure,HF,0,0.828000009,1,1,Long,Delay,b1
